===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.10.152/
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /usr/share/wordlists/dirbuster/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Timeout:                 10s
===============================================================
2022/07/29 13:11:40 Starting gobuster in directory enumeration mode
===============================================================
/12                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F12&errormsg=]
/2006                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F2006&errormsg=]
/download             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fdownload&errormsg=]
/news                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fnews&errormsg=]    
/images               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fimages&errormsg=]  
/warez                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fwarez&errormsg=]   
/full                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ffull&errormsg=]    
/serial               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fserial&errormsg=]  
/crack                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcrack&errormsg=]   
/index                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Findex&errormsg=]   
/10                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F10&errormsg=]      
/new                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fnew&errormsg=]     
/blog                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fblog&errormsg=]    
/privacy              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fprivacy&errormsg=] 
/logo                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Flogo&errormsg=]    
/11                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F11&errormsg=]      
/spacer               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fspacer&errormsg=]  
/search               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsearch&errormsg=]  
/about                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fabout&errormsg=]   
/contact              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcontact&errormsg=] 
/archives             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Farchives&errormsg=]
/sitemap              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsitemap&errormsg=] 
/products             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fproducts&errormsg=]
/2005                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F2005&errormsg=]    
/default              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fdefault&errormsg=] 
/img                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fimg&errormsg=]     
/home                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fhome&errormsg=]    
/rss                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Frss&errormsg=]     
/faq                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ffaq&errormsg=]     
/cgi-bin              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcgi-bin&errormsg=] 
/2                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F2&errormsg=]       
/07                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F07&errormsg=]      
/06                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F06&errormsg=]      
/08                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F08&errormsg=]      
/01                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F01&errormsg=]      
/1                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F1&errormsg=]       
/09                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F09&errormsg=]      
/links                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Flinks&errormsg=]   
/articles             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Farticles&errormsg=]
/login                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Flogin&errormsg=]   
/02                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F02&errormsg=]      
/archive              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Farchive&errormsg=] 
/events               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fevents&errormsg=]  
/help                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fhelp&errormsg=]    
/03                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F03&errormsg=]      
/04                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F04&errormsg=]      
/article              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Farticle&errormsg=] 
/05                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F05&errormsg=]      
/keygen               (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fkeygen&errormsg=]  
/support              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsupport&errormsg=] 
/register             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fregister&errormsg=]
/category             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcategory&errormsg=]
/13                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F13&errormsg=]      
/security             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsecurity&errormsg=]
/3                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F3&errormsg=]       
/downloads            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fdownloads&errormsg=]
/software             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fsoftware&errormsg=] 
/forum                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fforum&errormsg=]    
/en                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fen&errormsg=]       
/4                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F4&errormsg=]        
/content              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcontent&errormsg=]  
/14                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F14&errormsg=]       
/resources            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fresources&errormsg=]
/icons                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ficons&errormsg=]    
/services             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fservices&errormsg=] 
/templates            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ftemplates&errormsg=]
